LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
C3878898,TAIYO YUDEN(太诱),LMK212BJ105KG-T,,C0805,,-,11,,,LMK212BJ105KG-T,Taiyo Yuden,11,0.0285,0.31,C3878898,0805,1,1,3000,0,Backordered,,1uF X5R ±10% 10V 0805 Ceramic Capacitors RoHS,Exact Matches,https://www.lcsc.com/product-detail/C3878898.html
C233103,Jianghai(南通江海),ECR1HBK102MLL125025,,CAP-TH_BD12.5-P5.00-D0.6-FD,,-,3,,,ECR1HBK102MLL125025,Nantong Jianghai Capacitor,5,0.3111,1.56,C233103,Through Hole,5,5,200,4680,In Stock,,1000uF 50V Aluminum Electrolytic Capacitors Through Hole 2000hrs@105℃,Exact Matches,https://www.lcsc.com/product-detail/C233103.html
C14663,YAGEO(国巨),CC0603KRX7R9BB104,,C0603,,-,16,,,CC0603KRX7R9BB104,YAGEO,100,0.0030,0.30,C14663,0603,100,100,4000,2324600,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C14663.html
C5675088,Ohmite,MMV05F10R0E,,R0805,,-,4,,,MMV05F10R0E,Ohmite,4,0.5304,2.12,C5675088,0805,1,1,4000,0,Backordered,,125mW 10Ω ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C5675088.html
C7050396,KOA,RK73H2ATTE1002F,,R0805,,-,3,,,RK73H2ATTE1002F,KOA,3,0.0073,0.02,C7050396,0805,1,1,4000,0,Backordered,,10kΩ ±1% 0805 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C7050396.html
C17554,,0805W8F2262T5E,,R0805,,-,1,,,0805W8F2262T5E,UNI-ROYAL,100,0.0022,0.22,C12825,0805,100,100,5000,3800,In Stock,,22.6kΩ ±1% 125mW 0805 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C12825.html
C9900042462,,HUSB238,,TDFN-10_L3.0-W3.0-P0.50-TL-EP,,-,1,,,-,-,-,-,-,-,-,-,-,-,-,-,,-,No Matches Found,
C2865736,TI(德州仪器),TPA3116D2DAD,,HTSSOP-32_L11.0-W6.1-P0.65-LS8.1-BL,,-,1,,,TPA3116D2DAD,TI,1,1.2414,1.24,C2865736,HTSSOP-32-EP-6.1mm,1,1,45,327,In Stock,,2-Channel Class D HTSSOP-32-EP-6.1mm Audio Amplifiers RoHS,Exact Matches,https://www.lcsc.com/product-detail/C2865736.html
C2863787,TI(德州仪器),TPA3118D2QDAPRQ1,,HTSSOP-32_L11.0-W6.1-P0.65-LS8.1-EP3.5_TPA3118D2QDAPRQ1,,-,2,,,TPA3118D2QDAPRQ1,TI,2,5.2424,10.48,C2863787,HTSSOP-32-EP-6.1mm,1,1,2000,0,Backordered,,2-Channel Class D HTSSOP-32-EP-6.1mm Audio Amplifiers RoHS,Exact Matches,https://www.lcsc.com/product-detail/C2863787.html
C9900015525,,USB,,USB-SMD_TYPE-C16PIN-1,,-,1,,,USB-A-S-S-W-TH-R,Samtec,1,1.4614,1.46,C5360016,USB-SMD,1,1,1000,5,In Stock,,"USB 2.0 1 4P -50℃~+85℃ Right Angle USB-SMD USB, DVI, HDMI Connector Assemblies RoHS",Partial Matches,https://www.lcsc.com/product-detail/C5360016.html
C22459515,HanElectricity(瀚源),PJ-320D,,AUDIO-SMD_HANELECTRICITY_PJ-320D,,-,1,,,PJ-320D,HanElectricity,20,0.0290,0.58,C22459515,SMD,20,20,1000,5960,In Stock,,3.5mm Headphone Jack 500mA 30V Surface Mount,Exact Matches,https://www.lcsc.com/product-detail/C22459515.html
